GROUP,Latitude,Longitude,DENSITY,LnDENSITY,npp,biodiv,pathos,npp2,biodiv2,ID,DivDiff
Azande,5.41,27.11,10.67068833,1.028192435,1853.772301,0.353518695,0.713198364,3436471.744,1249.754674,AG,0.024481305
Bemba,-11,31,2.180801527,0.338616143,1686.630085,0.450781156,0.367541073,2844721.042,2032.036506,AG,0.072781156
Betsileo  (subprefecture),-18.78,47.46,25.63015325,1.408751203,1763.639122,0.255726188,0.515512902,3110422.954,653.9588339,AG,0.122273812
Bhaca,-28.5,31.09,30.69059417,1.487005296,1288.222527,0.402234647,0.041963042,1659517.279,1617.927109,AG,0.024234647
Boyela (4 subtribes),-1,23.25,2.2,0.342422681,2152.089093,0.391101525,0.662413943,4631487.465,1529.604032,AG,0.013101525
Cayua,-23,-54,0.875,-0.057991947,1853.772301,0.496161854,0.034839819,3436471.744,2461.765856,AG,0.118161854
Cocopa,32.5,-114.75,0.48828125,-0.311329952,151.4209566,0.165833568,-0.560021944,22928.30611,275.0077221,AG,0.212166432
Creek,33,-83,0.329989404,-0.481500005,1618.651372,0.242719768,-0.324953117,2620032.264,589.1288557,AG,0.135280232
Delaware,40,-75.45,0.255813954,-0.59207577,1575.760481,0.246684563,-0.63976504,2483021.092,608.5327383,AG,0.131315437
Dogon,14.21,-3.37,6.792811321,0.832049552,873.1111276,0.289629395,0.700833804,762323.0412,838.8518627,AG,0.088370605
Garo,25.35,90.25,16.94426336,1.229022693,2465.623786,0.42582558,0.615546178,6079300.654,1813.274246,AG,0.04782558
Goba,-15.85,29.67,5.56467147,0.745439529,1133.89702,0.408666915,0.254188815,1285722.451,1670.086473,AG,0.030666915
Guahibo,5.38,-68.31,0.34,-0.468521083,2438.228284,0.546434455,0.118390611,5944957.166,2985.906137,AG,0.168434455
Hanunoo,12.46,121.36,22.74193548,1.356827423,2570.691589,0.428643759,0.038103455,6608455.245,1837.354719,AG,0.050643759
Hasinai,31.02,-94.48,0.277777778,-0.5563025,1688.373082,0.262067647,-0.346736347,2850603.665,686.794514,AG,0.115932353
Havasupai,36.13,-112.36,0.032299742,-1.490800947,633.139748,0.215020422,-0.754411842,400865.9405,462.33782,AG,0.162979578
Hidatsa,47.5,-101.3,0.094117647,-1.026328939,742.1336178,0.171233029,-0.944195215,550762.3067,293.2075036,AG,0.206766971
Hunzakut,36.5,75,4.088607595,0.611575431,249.9247122,0.204731773,0.042713658,62462.36179,419.1509899,AG,0.173268227
Huron,44,-78,9.933774834,0.997114312,1187.756031,0.179206251,-0.818669312,1410764.39,321.1488044,AG,0.198793749
Iban,2.55,112.36,3.383422779,0.529356269,2592.522182,0.536872956,0.102625643,6721171.265,2882.325711,AG,0.158872956
Ifugao (subarea),16.5,121,100,2,2069.487446,0.450233496,0.139243079,4282778.289,2027.102005,AG,0.072233496
Ka'apor,-3.1,-46,0.098020735,-1.008682045,2184.123033,0.599552316,0.044447931,4770393.424,3594.629796,AG,0.221552316
Kekchi_Maya,16.05,-89.15,2.947440157,0.469444996,2520.714009,0.588761993,0.165014708,6353999.116,3466.406844,AG,0.210761993
Khasi,25.32,91.19,20.20430837,1.305443988,2394.270329,0.491279235,0.601578756,5732530.408,2413.552871,AG,0.113279235
Kofyar (Bong),9,9.16,148.3279462,2.171222983,1758.703636,0.377835657,0.74130489,3093038.478,1427.597837,AG,0.000164343
Lamet,20.9,101.4,2.8975,0.462023445,1861.358041,0.547144113,0.431545077,3464653.755,2993.666798,AG,0.169144113
Lozi,-14.47,26.02,7.003676471,0.845326076,1428.742446,0.419191338,0.277169754,2041304.976,1757.213781,AG,0.041191338
Lugbara,3,31.25,58.00316957,1.763451726,1551.969599,0.504900225,0.754251165,2408609.637,2549.242368,AG,0.126900225
Mapuche,-41.15,-71.24,28.37967402,1.453007403,1256.693158,0.18865934,-0.670850325,1579277.694,355.9234672,AG,0.18934066
Maring(Bomagai-Angoiang),-5,145,2.153846154,0.333214679,2584.068575,0.531361872,-0.2790889,6677410.4,2823.454387,AG,0.153361872
Matsigenka,-12,-73,0.299981735,-0.522905187,2085.413942,0.637738469,-0.062438225,4348951.308,4067.103547,AG,0.259738469
Miskito,12.6,-83.7,0.963883293,-0.015975547,2548.774224,0.563203106,0.141369541,6496250.045,3171.977384,AG,0.185203106
Mohave,35,-114,0.714285714,-0.146128036,567.8192359,0.189097434,-0.683212892,322418.6847,357.5783952,AG,0.188902566
NE Igbo,6,8,160.6870229,2.205980805,2241.590431,0.434571094,0.813562966,5024727.662,1888.520355,AG,0.056571094
Nuaulu,-3.26,129.1,2.317757009,0.365067903,2483.315949,0.40671898,-0.098824484,6166858.103,1654.203287,AG,0.02871898
Nuer,8.5,31.5,2.573340196,0.410497204,1249.137911,0.311436358,0.606622881,1560345.522,969.9260532,AG,0.066563642
Nukak,2.56,-71.81,0.04,-1.397940009,2466.228648,0.55644064,0.166080455,6082283.744,3096.261862,AG,0.17844064
Panare,6,-65,0.0854,-1.068542129,2525.486928,0.710842397,0.154960333,6378084.225,5052.969138,AG,0.332842397
Pedi,-22.9,31.7,32.30223069,1.509232514,757.0761864,0.368372221,0.140835049,573164.352,1356.98093,AG,0.009627779
Powhatan,36.54,-76.18,0.447437102,-0.349268007,1643.195519,0.271190827,-0.498028699,2700091.514,735.4446472,AG,0.106809173
Sandawe,-3.5,35.5,15.92356688,1.202040356,1380.009494,0.529222146,0.64569336,1904426.204,2800.760801,AG,0.151222146
Semai,4.5,102,5.810391978,0.764205432,2428.066019,0.66423059,0.148821844,5895504.591,4412.022763,AG,0.28623059
Siriono,-15,-63.58,0.579374276,-0.237040791,1878.615269,0.514700728,-0.004761382,3529195.329,2649.168393,AG,0.136700728
Sonjo,-2.23,35.85,2.5,0.397940009,851.821468,0.56698048,0.681817,725599.8133,3214.66865,AG,0.18898048
Swazi,-26.5,31.5,20.99483204,1.322112405,1137.610597,0.382255662,0.078321263,1294157.87,1461.193913,AG,0.004255662
Tana Toraja,-3,120,98.9314034,1.99533417,2411.345147,0.501374653,0.197923754,5814585.42,2513.765426,AG,0.123374653
Tarahumara gentiles,26.48,-107.04,3.55,0.550228353,1464.837423,0.353815636,-0.258393628,2145748.676,1251.855041,AG,0.024184364
Tigrinya (Mai Weini),15.31,38.91,61.17647059,1.786584418,847.5380314,0.341877252,0.492730907,718320.7147,1168.800557,AG,0.036122748
Tikopia,-12.27,168.83,164.2307692,2.215454527,2584.068575,0.363198687,-0.178865644,6677410.4,1319.132863,AG,0.014801313
Tiv,7,9,95.18828452,1.9785835,2029.736613,0.37714903,0.805664056,4119830.718,1422.413909,AG,0.00085097
Tsembaga,-5,145,26.35658915,1.420889207,2584.068575,0.531361872,-0.2790889,6677410.4,2823.454387,AG,0.153361872
Tswana (Tolkwa),-24,27,41.66666667,1.619788758,843.2460538,0.337515139,0.0068409,711063.9073,1139.164692,AG,0.040484861
Uchucmarca,-7.1,-77.8,10.84761905,1.035334425,1370.870413,0.515809369,0.231031981,1879285.69,2660.593054,AG,0.137809369
Valley Gwembe Tonga (middle river),-17,27,2.214497232,0.345275142,1251.461513,0.419054437,0.19084652,1566155.919,1756.066215,AG,0.041054437
Wonie,-9.08,143.2,0.325,-0.488116639,2207.088537,0.365030586,-0.309396686,4871239.809,1332.473284,AG,0.012969414
Xhosa Shixini,-32.2,28.45,95.86,1.981637425,1335.301063,0.341941955,-0.04421788,1783028.928,1169.243008,AG,0.036058045
Yanoama,2.5,-65,0.19379845,-0.712649701,2334.581898,0.679473529,0.029984765,5450272.639,4616.842762,AG,0.301473529
Yukpa,10,-7.76,2.715,0.433769834,1846.136025,0.336617164,0.849368034,3408218.222,1133.111148,AG,0.041382836
AL-MURRAH,22,45,0.023,-1.638272164,140.049581,0.062104453,0.444723302,19613.88514,38.56963051,AG,0.315895547
Ayacucho Quechuan,-13.67,-74.59,9.3575,0.971159836,950.9955089,0.24976193,-0.04434948,904392.458,623.8102178,AG,0.12823807
Bakkarwal,33.5,75,3.4134,0.533187184,1120.170623,0.402018619,0.189959917,1254782.225,1616.189704,AG,0.024018619
Basseri,29.38,53.5,0.9469,-0.023695883,453.7943041,0.193070541,0.313111141,205929.2704,372.7623368,AG,0.184929459
Charwa,37,55,3.6364,0.560671649,477.3541564,0.250394322,0.13235135,227866.9906,626.9731667,AG,0.127605678
CHUKCHI,69,172,0.013,-1.886056648,156.8021324,0.063024383,-0.674909427,24586.90873,39.72072791,AG,0.314975617
CYRENAICA,32.5,22,1,0,431.7203223,0.151991358,0.107025309,186382.4367,231.0137284,AG,0.226008642
Goajiro,11.75,-71.75,6.6875,0.825263795,675.1947115,0.41716959,0.044295218,455887.8984,1740.304668,AG,0.03916959
HUMR,11,28,0.9167,-0.037772769,934.3513596,0.263315058,0.573259,873012.4632,693.3481965,AG,0.114684942
JIE,3.1,34,5.404,0.73271534,1145.015596,0.441503661,0.692548413,1311060.714,1949.254825,AG,0.063503661
KABABISH,15,26.5,1.0856,0.035669835,352.0644764,0.161309187,0.443792698,123949.3956,260.2065365,AG,0.216690813
Kazakh,48,67,1.457,0.163459552,350.3056634,0.143021652,-0.298224479,122714.0578,204.551929,AG,0.234978348
Khalkas,46.75,104,0.3618,-0.441531437,453.7943041,0.137686377,-0.319963892,205929.2704,189.5753828,AG,0.240313623
Koryak,62.43,166.08,0.0063,-2.200659451,300.438921,0.096224971,-0.679140735,90263.54526,92.59245072,AG,0.281775029
MAASAI,-2,36,0.025,-1.602059991,802.7726091,0.565589999,0.68299216,644443.862,3198.92047,AG,0.187589999
MUTAIR,25,42,0.7785,-0.108741383,222.3971025,0.06063871,0.463254766,49460.47118,36.77053119,AG,0.31736129
Northern Somali,4.9,45.62,6.6324,0.821670711,510.6334297,0.19206613,0.393456356,260746.4995,368.8939835,AG,0.18593387
Nurzay,33.1,62.42,0.1433,-0.84375381,313.0995272,0.144653495,0.195628275,98031.31395,209.2463356,AG,0.233346505
Paratia,-15.47,-70.47,6.1414,0.788267385,1145.339897,0.224387049,-0.05364035,1311803.48,503.4954765,AG,0.153612951
Rwala,31,39,0.72,-0.142667504,179.65198,0.053407096,0.387388723,32274.83393,28.5231791,AG,0.324592904
Saami,69,24,0.1649,-0.782779344,465.0438169,0.092811351,-0.751071325,216265.7517,86.13946834,AG,0.285188649
Sherpa,27.92,86.75,2.4636,0.391570195,560.9646503,0.354410409,0.570160836,314681.3389,1256.06738,AG,0.023589591
TEDA,20,17.5,0.0889,-1.051098239,55.2607047,0.084488925,-0.105188249,3053.745484,71.3837842,AG,0.293511075
Toda,11.35,77.25,0.5683,-0.245422344,1127.691262,0.339106997,0.573533539,1271687.582,1149.935554,AG,0.038893003
TUAREG-AHAGGAR,25,5,0.032,-1.494850022,45.46792322,0.057048121,-0.0417874,2067.332042,32.54488126,AG,0.320951879
TUAREG-AYR,15,7.5,0.1107,-0.955852379,477.3541564,0.196086178,0.291075705,227866.9906,384.4978912,AG,0.181913822
TURKANA,3.25,36,2.4627,0.39141151,329.1085618,0.264581079,0.614241748,108312.4455,700.0314718,AG,0.113418921
Yakut,64,129.5,0.0645,-1.190440285,175.4582988,0.141263599,-0.684462714,30785.6146,199.5540451,AG,0.236736401
Algeria,28.15893844,2.61732102,11.23056772,1.050401711,59.16872299,0.050171516,0.047108523,3500.93778,25.17181018,IND,0.188828484
Angola,-12.29336112,17.53736149,10.38207955,1.016284352,1675.244004,0.341701713,0.322716988,2806442.473,1167.600607,IND,0.102701713
Cameroon,5.69110296,12.73964266,28.49808281,1.454815644,1941.559828,0.434707912,0.787543961,3769654.566,1889.709688,IND,0.195707912
"Congo, Rep.",-0.83788172,15.21965722,7.774477892,0.890671233,2092.672407,0.398204069,0.676263546,4379277.803,1585.664806,IND,0.159204069
Cote d'Ivoire,7.62842868,-5.56921598,41.83683318,1.621558803,1568.223059,0.407028325,0.85662383,2459323.563,1656.720574,IND,0.168028325
"Egypt, Arab Rep.",26.49593108,29.8618993,59.74386833,1.776293339,14,0.032251016,0.35478678,196,10.40128033,IND,0.206748984
Ethiopia,8.62278417,39.6008014,53.79828138,1.730768402,1112.713112,0.446775359,0.461761993,1238130.47,1996.082214,IND,0.207775359
Gabon,-0.58660329,11.78863005,4.076999554,0.610340664,2059.548981,0.46962533,0.720932918,4241742.005,2205.479506,IND,0.23062533
Ghana,7.95345124,-1.21676901,71.052087,1.851576839,1661.094768,0.406375254,0.882403066,2759235.828,1651.408471,IND,0.167375254
Kenya,0.5998746,37.79594437,45.48948563,1.657911026,923.3494388,0.480938165,0.647650567,852574.1861,2313.015186,IND,0.241938165
Libya,27.03094247,18.00865782,2.579237414,0.41149132,13.91164429,0.036852277,-0.037599223,193.5338469,13.5809032,IND,0.202147723
Morocco,29.83762793,-8.45616045,57.16596661,1.757137551,596.7156316,0.174906102,0.243895688,356069.545,305.9214452,IND,0.064093898
Mozambique,-17.27381898,35.53367351,20.43335938,1.310339773,1440.177101,0.422182503,0.317076526,2074110.082,1782.380658,IND,0.183182503
Nigeria,9.59411807,8.08944243,116.3514911,2.065771953,1901.461908,0.399823076,0.724099667,3615557.388,1598.584921,IND,0.160823076
Senegal,14.36624381,-14.47348904,44.43560758,1.647731123,1022.921424,0.259633101,0.868779908,1046368.24,674.0934713,IND,0.020633101
SouthAfrica,-29.0003377,25.08388384,30.90916218,1.490087233,743.6323435,0.249957781,-0.084457521,552989.0623,624.7889228,IND,0.010957781
SriLanka,7.61266309,80.70107795,273.664886,2.437219077,2275.553752,0.38708938,0.319006717,5178144.878,1498.381881,IND,0.14808938
Sudan,15.99035431,29.94047226,9.709610343,0.987201802,205.7484509,0.124736196,0.465898769,42332.42505,155.5911859,IND,0.114263804
Tanzania,-6.27565815,34.81310214,32.56832838,1.512795468,958.8930389,0.402640661,0.5458693,919475.8601,1621.195019,IND,0.163640661
Trinidad,10.45735757,-61.26565805,234.7974025,2.370693288,2280.82583,0.570301145,0.274219,5202166.467,3252.43396,IND,0.331301145
Tunisia,34.11956663,9.55288287,53.50559974,1.728399236,286.2042825,0.178206063,0.014351652,81912.89132,317.5740089,IND,0.060793937
Zambia,-13.45824537,27.77475082,12.09536149,1.082618853,1572.020813,0.440223499,0.307706296,2471249.437,1937.967291,IND,0.201223499
Zimbabwe,-19.00420587,29.85145031,27.23709149,1.43516073,1072.182973,0.406623681,0.17924034,1149576.328,1653.428179,IND,0.167623681
Bangladesh,23.86730412,90.23812793,869.0199231,2.939029733,2198.619739,0.320605595,0.593183028,4833928.757,1027.879475,IND,0.081605595
Cambodia,12.72004932,104.9069431,73.14517241,1.864185668,1935.215652,0.45145094,0.379479052,3745059.62,2038.079512,IND,0.21245094
China,36.56176801,103.8190739,122.3681331,2.087668334,564.5871543,0.209827874,0.191307871,318758.6548,440.2773671,IND,0.029172126
India,22.88578035,79.61197355,309.5031393,2.490665058,1584.294082,0.322932237,0.631613106,2509987.738,1042.852297,IND,0.083932237
Indonesia,-6.21462,106.84513,103.5736148,2.015249134,2202.865384,0.471790278,0.239905394,4852615.9,2225.860664,IND,0.232790278
Japan,35.6528,139.8354,335.6855782,2.525932683,1842.29883,0.32252876,-0.017463315,3394064.979,1040.24801,IND,0.08352876
Kazakhstan,48.15687954,67.29149657,5.745680748,0.759341491,367.8413509,0.144433107,-0.303959566,135307.2594,208.609224,IND,0.094566893
"Korea, Rep.",36.3852463,127.8391693,448.5949727,2.651854402,1459.809622,0.248215779,0.236676852,2131044.132,616.1107294,IND,0.009215779
Kyrgyz,41.46221785,74.54165548,26.37999141,1.42127465,724.0710729,0.289036475,-0.134718433,524278.9186,835.4208388,IND,0.050036475
Malaysia,3.1412,101.68653,60.19439705,1.779556069,2401.650179,0.676646706,0.129857239,5767923.582,4578.507647,IND,0.437646706
Mongolia,46.82681435,103.0529965,1.529136306,0.1844462,492.3845324,0.144867834,-0.337802279,242442.5277,209.8668933,IND,0.094132166
Pakistan,29.94975221,69.33958027,150.6900351,2.178084534,606.271269,0.15548252,0.299552223,367564.8516,241.7481403,IND,0.08351748
Philippines,14.6042,120.9822,223.0289942,2.348361326,2251.59553,0.428032621,0.099698159,5069682.431,1832.119246,IND,0.189032621
Singapore,1.35877066,103.8172532,47.57906034,1.677415861,2419.264405,0.559055368,0.1519644,5852840.261,3125.429045,IND,0.320055368
Tajikistan,38.53045125,71.01363312,47.35695858,1.675383803,605.6813298,0.261234717,-0.025638812,366849.8733,682.4357737,IND,0.022234717
Thailand,15.11816347,101.0028835,110.7630696,2.044394983,1671.720775,0.410130389,0.368540122,2794650.35,1682.06936,IND,0.171130389
Turkmenistan,39.11554017,59.37099935,9.895758831,0.995449103,259.0398227,0.138054942,0.030036362,67101.62974,190.5916701,IND,0.100945058
Uzbekistan,41.75554081,63.14001799,60.50096504,1.781762302,226.0833109,0.131558621,-0.081541135,51113.66347,173.0767076,IND,0.107441379
Vietnam,16.64601451,106.2991386,213.5867642,2.329574336,2183.038829,0.543831486,0.458650326,4765658.529,2957.526852,IND,0.304831486
Australia,-25.73288736,134.4909988,2.295192937,0.360819199,325.5592618,0.14467522,-0.48594288,105988.8329,209.3091928,IND,0.09432478
NewZeland,-41.81112825,171.4849539,13.68483916,1.136239697,1620.191775,0.171352307,-0.647060452,2625021.388,293.6161311,IND,0.067647693
Costa,9.9763424,-84.19208786,64.98070212,1.8127844,2276.995412,0.671386322,0.252832994,5184708.106,4507.595934,IND,0.432386322
Cuba,21.62290023,-79.01606913,98.74209716,1.994502347,1620.484585,0.310692385,-0.044558597,2625970.29,965.297581,IND,0.071692385
Dominican,18.8943308,-70.50569086,155.8210086,2.192626011,1710.822667,0.350920334,0.018373519,2926914.198,1231.450808,IND,0.111920334
Guatemala,15.69404158,-90.36482288,94.04820455,1.973350509,2520.714009,0.619933941,0.203333908,6353999.115,3843.180912,IND,0.380933941
Honduras,14.82688225,-86.61516846,47.04222987,1.6724879,1701.372044,0.501834386,0.126410951,2894666.832,2518.37751,IND,0.262834386
Jamaica,18.15695476,-77.31482556,222.5533678,2.347434171,1967.932276,0.330592987,0.017029639,3872757.443,1092.917231,IND,0.091592987
Nicaragua,12.84709633,-85.03052894,35.99604163,1.556254745,2483.315949,0.527375548,0.143002934,6166858.103,2781.249686,IND,0.288375548
Panama,8.5175119,-80.11915152,36.20202554,1.55873287,2481.253374,0.660436393,0.303422472,6156618.306,4361.762292,IND,0.421436393
Albania,41.14245128,20.04983034,107.1078239,2.029821196,1518.907059,0.334119864,0.117674898,2307078.654,1116.360835,IND,0.095119864
Austria,47.58549847,14.12647809,95.29437767,1.979067278,868.076536,0.277960685,-0.095732913,753556.8724,772.6214241,IND,0.038960685
Belarus,53.53131155,28.03208711,48.36635533,1.684543362,995.1599367,0.240870855,-0.345644221,990343.2996,580.1876879,IND,0.001870855
Belgium,50.63981435,4.64064572,335.0447855,2.525102863,1275.673932,0.204997043,-0.303679712,1627343.981,420.2378764,IND,0.034002957
Bosnia,44.17449912,17.76876588,74.78592516,1.873819871,1256.693158,0.261843273,0.049327846,1579277.693,685.6189962,IND,0.022843273
Bulgaria,42.76889988,25.21552327,75.94177846,1.880480764,1103.920585,0.262256971,0.034569062,1218640.658,687.7871884,IND,0.023256971
Croatia,45.08047284,16.40413079,79.75773099,1.90177279,1457.685379,0.257212969,0.017650141,2124846.664,661.5851142,IND,0.018212969
Czech,49.73341073,15.31240065,133.493128,2.12545891,1013.710573,0.22193252,-0.174903635,1027609.126,492.5404343,IND,0.01706748
Denmark,55.98126391,10.02799418,123.7791175,2.092647382,1030.782435,0.203380208,-0.414451641,1062512.428,413.6350901,IND,0.035619792
Estonia,58.67192416,25.54248555,32.37388783,1.510194858,990.0564197,0.221713015,-0.495353602,980211.7142,491.5666102,IND,0.017286985
Finland,64.49884844,26.27467024,16.53440304,1.21838852,735.4770841,0.146602211,-0.650421969,540926.5412,214.9220827,IND,0.092397789
France,46.18700581,2.53618475,108.0705955,2.033707545,1196.032712,0.224269241,-0.234456011,1430494.248,502.9669246,IND,0.014730759
Georgia,42.16855944,43.50778995,61.6770304,1.790123455,1179.228429,0.34286938,-0.032963779,1390579.688,1175.594117,IND,0.10386938
Germany,51.10697903,10.38577693,234.5561044,2.37024674,1072.182973,0.21265666,-0.25675903,1149576.328,452.2285504,IND,0.02634334
Greece,39.07466973,22.95556207,79.81261579,1.902071545,934.3513596,0.310053413,0.111893459,873012.4632,961.3311891,IND,0.071053413
Hungary,47.16277712,19.39559381,115.3508584,2.062020831,891.3914211,0.243428436,-0.063583509,794578.6656,592.5740345,IND,0.004428436
Ireland,53.1754426,-8.13793167,54.10696727,1.733253192,1335.514097,0.150386404,-0.466579878,1783597.903,226.1607051,IND,0.088613596
Italy,42.79663568,12.07000946,193.8147726,2.287386876,1184.014513,0.250701585,0.068557494,1401890.367,628.5128472,IND,0.011701585
Latvia,56.85085306,24.9123704,36.7512687,1.565272336,1037.978668,0.217802027,-0.437761022,1077399.715,474.3772297,IND,0.021197973
Lithuania,55.32611078,23.88720035,53.77494079,1.730579941,1007.105133,0.226623284,-0.380672168,1014260.749,513.5811285,IND,0.012376716
"Macedonia, FYR",41.59531059,21.68211343,79.8582117,1.902319581,880.1606899,0.310919467,0.097706045,774682.84,966.7091496,IND,0.071919467
Mauritius,-20.2777156,57.57120758,537.1543596,2.730099105,2167.707811,0.294810508,0.420760192,4698957.154,869.1323563,IND,0.055810508
Moldova,47.19499323,28.45673742,109.8888483,2.040953622,945.2949931,0.246722352,-0.132903531,893582.624,608.7191898,IND,0.007722352
Netherlands,52.10080804,5.2814735,452.7128358,2.655822808,1238.643433,0.20635062,-0.33638391,1534237.554,425.8057837,IND,0.03264938
Norway,68.75014407,15.34832968,11.92989705,1.076636696,882.8318153,0.114472006,-0.744590305,779392.0141,131.0384016,IND,0.124527994
Poland,52.12759537,19.39011841,121.6593817,2.085145605,889.9908401,0.21631971,-0.25821349,792083.6955,467.9421693,IND,0.02268029
Portugal,39.59550247,-8.50105506,109.5255499,2.039515442,1290.494259,0.236797354,-0.074423537,1665375.433,560.7298686,IND,0.002202646
Russian,61.98052168,96.68657347,8.890666836,0.948934336,258.3027725,0.153251318,-0.683697922,66720.32228,234.8596647,IND,0.085748682
Slovak,48.70547175,19.47905212,111.8027003,2.048452293,1054.193859,0.255794215,-0.129685547,1111324.692,654.3068043,IND,0.016794215
Slovenia,46.11555444,14.8044464,99.64947212,1.998475002,1326.702271,0.275612087,-0.029987213,1760138.916,759.620225,IND,0.036612087
