GROUP,Latitude,Longitude,DENSITY,LnDENSITY,npp,biodiv,pathos,npp2,biodiv2,ID,DivDiff
Gosiute Shoshoni,39.88,-114,0.0167,-1.777283529,689.046318,0.195516644,-0.835005907,474784.8283,382.27,HG,0.084483356
Spring Valley Shoshoni,39.19,-114.48,0.0609,-1.215382707,445.326853,0.199331543,-0.818227501,198316.006,397.33,HG,0.080668457
White Knife Shoshoni,41,-117.31,0.1171,-0.931443105,383.5242239,0.188031528,-0.846525832,147090.8303,353.56,HG,0.091968472
Rainroad Valley Shoshoni,38.33,-115.78,0.0428,-1.368556231,424.8899047,0.17778278,-0.784527026,180531.4311,316.07,HG,0.10221722
Reese River Shoshoni,39.25,-117.32,0.167,-0.777283529,492.3845324,0.18943808,-0.802951127,242442.5277,358.87,HG,0.09056192
Grouse Creek Shoshoni,41.59,-113.94,0.0164,-1.785156152,487.3843839,0.208511586,-0.868782475,237543.5377,434.77,HG,0.071488414
Utewimonantci,37.67,-109,0.026,-1.585026652,662.8124877,0.228705431,-0.778583171,439320.3939,523.06,HG,0.051294569
Bear Creek Paiute,43.94,-120.49,0.011,-1.958607315,574.2705369,0.215524865,-0.89738539,329786.6496,464.51,HG,0.064475135
Antelope Valley Shoshoni,40.19,-114.24,0.0113,-1.946921557,507.3253548,0.197512577,-0.841148328,257379.0156,390.11,HG,0.082487423
Surprise Valley Paiute,41.5,-120.06,0.1359,-0.866780543,590.324024,0.218583498,-0.849686621,348482.4533,477.79,HG,0.061416502
Wind River Shoshoni,43.19,-108.86,0.0187,-1.728158393,440.2328722,0.228729334,-0.895374269,193804.9818,523.17,HG,0.051270666
Ruby Valley Shoshoni,40.36,-115.39,0.1379,-0.860435734,721.0466315,0.205970142,-0.841014387,519908.2448,424.24,HG,0.074029858
Uintah-ute,40.47,-110.22,0.0748,-1.126098402,500.6960111,0.237939201,-0.846154933,250696.4955,566.15,HG,0.042060799
Harney Valley Paiute,43.25,-119.14,0.0124,-1.906578315,465.6016067,0.205703295,-0.895597315,216784.8562,423.14,HG,0.074296705
Sheep-eater Shoshoni,45.17,-113.84,0.0624,-1.20481541,564.5871543,0.247345128,-0.924796054,318758.6548,611.8,HG,0.032654872
Little Smokey Shoshoni,39.33,-115.84,0.01822,-1.739451627,484.0454138,0.191416437,-0.81039262,234299.9626,366.4,HG,0.088583563
Uncompahgre Ute,38.14,-107.8,0.0429,-1.367542708,860.7539755,0.252729549,-0.778561471,740897.4063,638.72,HG,0.027270451
Lipan Apache,28.96,-98.48,0.0051,-2.292429824,1093.821812,0.243899219,-0.288318621,1196446.156,594.87,HG,0.036100781
Chiricahua Apache,32.52,-101.76,0.0116,-1.935542011,804.2310839,0.206213823,-0.499358939,646787.6363,425.24,HG,0.073786177
Kiowa,36.9,-99.1,0.014,-1.853871964,1030.782435,0.196991538,-0.657814988,1062512.428,388.06,HG,0.083008462
Kiowa Apache,35.83,-98.9,0.0414,-1.382999659,1128.934062,0.202044665,-0.608159214,1274492.116,408.22,HG,0.077955335
Arapahoe,40.13,-102.72,0.075,-1.124938737,719.532904,0.180393165,-0.80195283,517727.5999,325.42,HG,0.099606835
Plains Ojibwa,47.6,-97.25,0.0279,-1.554395797,854.6723556,0.176155906,-0.930592527,730464.8354,310.31,HG,0.103844094
Assiniboine,49.49,-102.43,0.0321,-1.493494968,718.018171,0.168555331,-0.961794512,515550.0939,284.11,HG,0.111444669
Plains Cree,51.86,-102.67,0.0273,-1.563837353,659.1079622,0.175930157,-0.974947019,434423.3058,309.51,HG,0.104069843
Blood,52.79,-90.64,0.0051,-2.292429824,529.1262721,0.134885084,-0.965304984,279974.6118,181.94,HG,0.145114916
Sarsi,53.15,-111.04,0.0175,-1.756961951,736.1287538,0.162334885,-0.977498938,541885.5422,263.53,HG,0.117665115
Yakima,46.33,-120.27,0.27,-0.568636236,383.5242239,0.21358822,-0.918623329,147090.8303,456.2,HG,0.06641178
Sanpoil,47.94,-118.44,0.112,-0.950781977,644.1153873,0.218875599,-0.938671203,414884.6322,479.07,HG,0.061124401
Kalispel,47.94,-115.67,0.015,-1.823908741,1070.524148,0.244404193,-0.946753542,1146021.951,597.33,HG,0.035595807
Ojibwa (Kitchibaun),45.21,-85.1,0.05,-1.301029996,1120.170623,0.232585149,-0.846463624,1254782.225,540.96,HG,0.047414851
Kitikitegon,45,-91,0.0309,-1.510041521,1021.881907,0.207076924,-0.850251205,1044242.632,428.81,HG,0.072923076
Rainy River Ojibwa,45.21,-85.1,0.0121,-1.91721463,1120.170623,0.232585149,-0.846463624,1254782.225,540.96,HG,0.047414851
Northern Saulteaux,52.28,-96.78,0.012,-1.920818754,629.0178117,0.174457666,-0.9684539,395663.4074,304.35,HG,0.105542334
Pekangekum Ojibwa,51.84,-93.85,0.0308,-1.511449283,617.2678618,0.155515092,-0.962387734,381019.6132,241.85,HG,0.124484908
Round Lake Ojibwa,52.71,-90.62,0.0175,-1.756961951,529.1262721,0.134885084,-0.965304984,279974.6118,181.94,HG,0.145114916
Mistassini Cree,51.75,-72.66,0.0058,-2.236572006,446.6447582,0.120757432,-0.946179803,199491.54,145.82,HG,0.159242568
Ojibwa (Northern Albany),51.22,-83.1,0.0143,-1.844663963,605.6813298,0.130576208,-0.951424866,366849.8733,170.5,HG,0.149423792
Waswanip Cree,49.78,-76.64,0.0041,-2.387216143,629.0178117,0.154494851,-0.935303544,395663.4074,238.69,HG,0.125505149
Montagnais,52.42,-63.33,0.0041,-2.387216143,455.7680801,0.118402843,-0.904472403,207724.5428,140.19,HG,0.161597157
Sekani,56.14,-120,0.0082,-2.086186148,715.8383336,0.159891322,-0.971352322,512424.5199,255.65,HG,0.120108678
Beaver,58.51,-115.76,0.0051,-2.292429824,577.4286087,0.153770238,-0.976023975,333423.7981,236.45,HG,0.126229762
Slave,61.15,-119.5,0.0055,-2.259637311,460.3868231,0.137500383,-0.967503512,211956.0269,189.06,HG,0.142499617
Kaska,59.73,-125,0.0066,-2.180456064,493.7968499,0.145472873,-0.964438192,243835.329,211.62,HG,0.134527127
Mountain,63.68,-125.37,0.0078,-2.107905397,297.2370165,0.124504995,-0.951573491,88349.84398,155.01,HG,0.155495005
Hare,67.47,-125,0.0033,-2.48148606,231.5600522,0.082640618,-0.930802159,53620.05777,68.29,HG,0.197359382
Attawapiskat Cree,53.62,-83.88,0.0143,-1.844663963,484.0571194,0.108949582,-0.968721859,234311.2948,118.7,HG,0.171050418
Koyukon,66.52,-153.78,0.0109,-1.962573502,278.6567858,0.102973215,-0.893651933,77649.60427,106.03,HG,0.177026785
Chippewyan,59.47,-106.19,0.0046,-2.337242168,382.9495242,0.127518481,-0.982145431,146650.3381,162.61,HG,0.152481519
Ingalik,61.82,-157.75,0.0271,-1.567030709,474.4731272,0.116878552,-0.928493535,225124.7484,136.61,HG,0.163121448
Satudene,65.75,-122.89,0.0055,-2.259637311,278.6567858,0.098035166,-0.944795684,77649.60427,96.11,HG,0.181964834
Nabesna,63.44,-143.12,0.00667,-2.175874166,403.2706728,0.114973404,-0.935714785,162627.2355,132.19,HG,0.165026596
Rupert House Cree,51.08,-77.81,0.009,-2.045757491,550.1909329,0.138435305,-0.949854567,302710.0626,191.64,HG,0.141564695
Dogrib,63.85,-115.61,0.0088,-2.055517328,310.2291681,0.094660935,-0.962903497,96242.13674,89.61,HG,0.185339065
Naskapi,56.19,-68.92,0.0042,-2.37675071,378.9917215,0.086304902,-0.955531548,143634.725,74.49,HG,0.193695098
Kobuk Inuit,66.95,-156.94,0.0267,-1.573488739,294.0655189,0.088296041,-0.881986362,86474.52941,77.96,HG,0.191703959
Labrador Inuit,57.97,-62.02,0.0278,-1.555955204,375.0689606,0.076864782,-0.935897218,140676.7252,59.08,HG,0.203135218
Caribou Inuit,64.33,-96.2,0.003,-2.522878745,165.8834675,0.048520337,-0.971893803,27517.32479,23.54,HG,0.231479663
Noatak Inuit,68.09,-160,0.022,-1.657577319,236.6972486,0.063027013,-0.858268589,56025.58749,39.72,HG,0.216972987
Nunamiut Inuit,68.18,-151.71,0.0096,-2.017728767,165.8834675,0.073598472,-0.878218965,27517.32479,54.17,HG,0.206401528
Copper Inuit,68.58,-106.61,0.0043,-2.366531544,141.628487,0.049675091,-0.947429508,20058.62833,24.68,HG,0.230324909
Utkuhikhalingmiut,66.99,-95.18,0.0038,-2.420216403,133.8123034,0.043994998,-0.959833334,17905.73254,19.36,HG,0.236005002
Aivilingmiut Inuit,65.16,-88.12,0.0032,-2.494850022,169.6529077,0.045059049,-0.968727473,28782.10909,20.3,HG,0.234940951
Ingulik Inuit,69.44,-81.51,0.0018,-2.744727495,146.5245493,0.034777847,-0.947526693,21469.44355,12.09,HG,0.245222153
West Greenland,69.31,-50.21,0.0473,-1.325138859,352.2575705,0.043009096,-0.931899904,124085.396,18.5,HG,0.236990904
Netsilik Inuit,71.46,-94.93,0.0025,-2.602059991,107.7059943,0.038545333,-0.931335918,11600.58121,14.86,HG,0.241454667
Angmaksaslik,65.63,-37.64,0.0531,-1.274905479,529.1262721,0.048670606,-0.890821782,279974.6118,23.69,HG,0.231329394
Polar Inuit,77.49,-69.5,0.0041,-2.387216143,167.7582278,0.031370222,-0.908415203,28142.82299,9.84,HG,0.248629778
Orogens,51.91,122.5,0.043,-1.366531544,337.7263021,0.211133477,-0.393218872,114059.0551,445.77,HG,0.068866523
Ket,62,90,0.0164,-1.785156152,403.2706728,0.161573213,-0.67552678,162627.2355,261.06,HG,0.118426787
Gilyak,51.54,140,0.6,-0.22184875,611.4541773,0.202169773,-0.556010984,373876.2109,408.73,HG,0.077830227
Siberian Eskimo,65.96,170.08,0.047,-1.327902142,165.8834675,0.084731669,-0.681886661,27517.32479,71.79,HG,0.195268331
Tehuelche,-46,-68.7,0.0189,-1.723538196,291.6047829,0.106862721,-0.715314818,85033.34941,114.2,HG,0.173137279
Mulluk,-13.58,130.58,0.45,-0.346787486,1733.729091,0.240348904,-0.214927175,3005816.561,577.68,HG,0.039651096
Tasmanians (eastern),-42.62,147.49,0.0817,-1.087777943,1032.089562,0.210394995,-0.505806989,1065208.864,442.66,HG,0.069605005
Serrano,34.52,-117,0.1758,-0.754981129,448.7172072,0.177825862,-0.649101624,201347.132,316.22,HG,0.102174138
Luiseno,33.42,-117.3,0.679,-0.168130226,580.704726,0.225705377,-0.605167333,337217.9788,509.43,HG,0.054294623
Tubatulabal,36.01,-118.32,0.172,-0.764471553,965.6582775,0.214201048,-0.694869487,932495.9089,458.82,HG,0.065798952
Northern Foothill Yokuts,37.44,-120.44,0.3829,-0.416914634,653.4825598,0.208490135,-0.730760075,427039.456,434.68,HG,0.071509865
Eastern Pomo,39.03,-122.94,1.27,0.103803721,1349.608902,0.258180075,-0.773260499,1821444.188,666.57,HG,0.021819925
Clear-Lake Pomo,39.12,-122.94,3.087,0.489536629,1349.608902,0.258180075,-0.773260499,1821444.188,666.57,HG,0.021819925
Wintu,40.9,-122.35,0.5882,-0.23047498,1708.344468,0.263649994,-0.833655553,2918440.821,695.11,HG,0.016350006
Nisenan,39.03,-121.15,0.3975,-0.400662867,1543.290262,0.23505975,-0.780139708,2381744.833,552.53,HG,0.04494025
Salinan,35.47,-120.84,0.374,-0.427128398,601.498209,0.2725265,-0.666245314,361800.0954,742.71,HG,0.0074735
Pomo (Southern),38.54,-122.88,1.108,0.04453976,1583.353741,0.259086756,-0.759113501,2507009.069,671.26,HG,0.020913244
Sinkyone,40.1,-123.96,0.9644,-0.015742798,1540.115432,0.262696165,-0.80734943,2371955.544,690.09,HG,0.017303835
Lessik,40.18,-123.16,0.972,-0.012333735,1282.836617,0.256951073,-0.813202855,1645669.786,660.24,HG,0.023048927
Miwok (Lake),38.79,-122.48,0.65,-0.187086643,1281.389202,0.253268664,-0.765036036,1641958.287,641.45,HG,0.026731336
Yuki (Proper),39.7,-123.15,1.316,0.119255889,1531.195501,0.257915668,-0.796254714,2344559.662,665.2,HG,0.022084332
Wappo,38.59,-122.54,1.206,0.081347308,1511.01856,0.254987565,-0.759771857,2283177.089,650.19,HG,0.025012435
Pomo (Northern),39.34,-123.29,1.084,0.035029282,1584.659934,0.259428044,-0.784709536,2511147.106,673.03,HG,0.020571956
Yana,40.38,-122.89,0.313,-0.504455662,1450.892556,0.261100169,-0.818681079,2105089.209,681.73,HG,0.018899831
Tekelma,42.44,-123.48,0.1285,-0.891096872,1398.193125,0.248727705,-0.866115786,1954944.015,618.65,HG,0.031272295
Tolowa,41.87,-123.92,0.5714,-0.243059764,1397.485058,0.262410904,-0.859382355,1952964.487,688.59,HG,0.017589096
Shasta,41.62,-122.7,0.1709,-0.767257937,977.7792501,0.291579479,-0.851189528,956052.2619,850.19,HG,0.011579479
Hupa,40.93,-123.61,0.8,-0.096910013,1522.273363,0.276862759,-0.835196045,2317316.192,766.53,HG,0.003137241
Tututni,42.61,-124.04,0.6707,-0.173471694,1406.37188,0.237511438,-0.866751691,1977881.865,564.12,HG,0.042488562
Karok,41.58,-123.47,0.469,-0.328827157,1265.391631,0.265310523,-0.853256299,1601215.98,703.9,HG,0.014689477
Atsugewi,40.75,-121.12,0.1793,-0.74641971,1070.524148,0.239143506,-0.829856708,1146021.951,571.9,HG,0.040856494
Wiyot,40.75,-124.14,1.0793,0.033142177,1540.115432,0.276302938,-0.829279823,2371955.544,763.43,HG,0.003697062
Maidu (Mountain),40.28,-120.56,0.235,-0.628932138,949.3838916,0.229938144,-0.816984059,901329.7736,528.72,HG,0.050061856
Yurok,41.4,-123.89,1.31,0.117271296,1468.729531,0.273603125,-0.851268641,2157166.435,748.59,HG,0.006396875
Achumawi,41.32,-121.19,0.1725,-0.763210901,846.1083221,0.250170839,-0.842702477,715899.2927,625.85,HG,0.029829161
Modoc,42,-121.31,0.0562,-1.250263684,622.1129751,0.24830557,-0.857880227,387024.5538,616.56,HG,0.03169443
Pyramid Lake Paiute,40.01,-119.6,0.1853,-0.732124581,406.012444,0.205976265,-0.815652315,164846.1047,424.26,HG,0.074023735
North River Paiute,37,-119.07,0.1604,-0.794795636,1182.808298,0.248931934,-0.719313355,1399035.47,619.67,HG,0.031068066
Washo,39.08,-119.82,0.149,-0.826813732,497.3747306,0.227242877,-0.785524606,247381.6226,516.39,HG,0.052757123
Bohogue-Northern Shoshoni,43,-112,0.0104,-1.982966661,678.2800038,0.214058564,-0.892715751,460063.7636,458.21,HG,0.065941436
Comanche,36.83,-100.5,0.0233,-1.632644079,891.3914211,0.189607432,-0.666147454,794578.6656,359.51,HG,0.090392568
Cheyenne,38.83,-102.35,0.0482,-1.316952962,689.046318,0.18321,-0.75729704,474784.8283,335.66,HG,0.09679
Crow,45.83,-108.48,0.0581,-1.235823868,665.9142127,0.204638175,-0.931062794,443441.7387,418.77,HG,0.075361825
Teton Lakota,44.5,-102.27,0.0877,-1.057000407,698.2348418,0.172560194,-0.902388367,487531.8943,297.77,HG,0.107439806
Kutenai,47.48,-114.08,0.0201,-1.696803943,749.6173044,0.253816106,-0.945653099,561926.1031,644.23,HG,0.026183894
Bannok,43.66,-112.32,0.0231,-1.63638802,474.0018573,0.213877855,-0.903099049,224677.7607,457.44,HG,0.066122145
Gros-Ventre,48.12,-105.6,0.0337,-1.472370099,580.704726,0.168392905,-0.954580401,337217.9788,283.56,HG,0.111607095
Peigan,49.34,-111.21,0.0254,-1.595166283,599.905075,0.171559955,-0.962893764,359886.099,294.33,HG,0.108440045
Blackfoot,51.01,-110.76,0.0346,-1.460923901,585.5191654,0.150555544,-0.971504257,342832.6931,226.67,HG,0.129444456
Squamish,49.77,-123.19,0.565,-0.247951552,990.0564197,0.271689661,-0.934026673,980211.7142,738.15,HG,0.008310339
Alsea,44.42,-123.84,0.968,-0.014124643,1415.265305,0.253248417,-0.886801511,2002975.884,641.35,HG,0.026751583
Puyallup,47.11,-122.04,0.3675,-0.434742657,1344.337429,0.262505077,-0.914052084,1807243.123,689.09,HG,0.017494923
Twana,47.55,-123.16,0.2684,-0.571217489,1213.463617,0.274122836,-0.911659377,1472493.95,751.43,HG,0.005877164
Chehalis,46.87,-123.67,0.2197,-0.658169943,1388.60546,0.25203828,-0.905204902,1928225.124,635.23,HG,0.02796172
Chinook,46.06,-123.75,0.338,-0.4710833,1388.60546,0.262254743,-0.900406158,1928225.124,687.78,HG,0.017745257
Coos,43.43,-124.11,1.042,0.017867719,1486.575358,0.25880546,-0.876051718,2209906.295,669.8,HG,0.02119454
Stalo,49.23,-122.7,0.66,-0.180456064,1353.171664,0.290339205,-0.930829799,1831073.552,842.97,HG,0.010339205
Cowichan,48.41,-123.64,0.3475,-0.459045191,1291.58198,0.242381971,-0.919346755,1668184.011,587.49,HG,0.037618029
Tillamook,45.4,-123.82,0.4132,-0.383839687,1335.514097,0.24613897,-0.895853193,1783597.903,605.84,HG,0.03386103
Eyak,60.48,-144,0.0586,-1.232102384,782.6977078,0.114677647,-0.946546752,612615.7018,131.51,HG,0.165322353
Kuskowagmut,61.01,-161.55,0.173,-0.761953897,544.8645412,0.095878869,-0.9163169,296877.3683,91.93,HG,0.184121131
Nunavak,60.03,-166.3,0.1922,-0.716246617,566.4121203,0.043772719,-0.894260925,320822.69,19.16,HG,0.236227281
Tenino,45.59,-120.45,0.19,-0.721246399,458.8612974,0.211221062,-0.913055431,210553.6903,446.14,HG,0.068778938
Umatiela,45.49,-119.94,0.105,-0.978810701,525.4655219,0.207356708,-0.914212772,276114.0147,429.97,HG,0.072643292
Wenatchi,47.41,-120.31,0.5017,-0.299555899,495.7124356,0.25299082,-0.92675348,245730.8188,640.04,HG,0.02700918
Wishram,45.72,-121.13,2.317,0.364926034,884.3792068,0.246816095,-0.91088296,782126.5814,609.18,HG,0.033183905
Coeur d'Alene,47.42,-116.34,0.015,-1.823908741,990.0564197,0.239543219,-0.941404733,980211.7142,573.81,HG,0.040456781
Okanogan,49.46,-119.63,0.1327,-0.877129077,540.2092418,0.264135899,-0.94454302,291826.0249,697.68,HG,0.015864101
Nez-perce,46.25,-116.46,0.0888,-1.051587034,1008.427976,0.2445149,-0.931888592,1016926.983,597.88,HG,0.0354851
Thompson,51.26,-121.75,0.332,-0.478861916,727.0915005,0.222315476,-0.950375887,528662.0501,494.24,HG,0.057684524
Micmac,46.99,-65,0.0232,-1.634512015,974.3337722,0.212487886,-0.850271276,949326.2996,451.51,HG,0.067512114
Flathead,46.28,-113.26,0.015,-1.823908741,746.626811,0.24778265,-0.935958934,557451.5949,613.96,HG,0.03221735
Shuswap,53.41,-119.53,0.124,-0.906578315,544.8645412,0.223033133,-0.965908849,296877.3683,497.44,HG,0.056966867
Nipigon Ojibwa,49.34,-88.31,0.0087,-2.060480747,690.218498,0.174823611,-0.930392472,476401.575,305.63,HG,0.105176389
Weagamon Ojibwa,52.79,-113.86,0.0444,-1.35261703,762.2224755,0.176451853,-0.97343963,580983.1022,311.35,HG,0.103548147
Tahltan,57.66,-127.85,0.0116,-1.935542011,455.7680801,0.150181488,-0.962444908,207724.5428,225.54,HG,0.129818512
Han,64.79,-141.2,0.018,-1.744727495,341.3092874,0.111121896,-0.928613814,116492.0297,123.48,HG,0.168878104
Kutchin,65.94,-135.23,0.017,-1.769551079,337.7263021,0.107624056,-0.926853614,114059.0551,115.83,HG,0.172375944
Tutchone,61.24,-138.21,0.0092,-2.036212173,334.1762024,0.118551259,-0.948017372,111673.7343,140.54,HG,0.161448741
Holikachuk,63.33,-157.54,0.0152,-1.818156412,437.6726459,0.105696422,-0.921255654,191557.345,111.72,HG,0.174303578
Norton Sound Inuit,63.98,-160.75,0.0761,-1.118615343,446.6447582,0.104097123,-0.904863803,199491.54,108.36,HG,0.175902877
Kotzebue Sound Inuit,66.77,-161.53,0.0663,-1.178486472,355.9741067,0.097352134,-0.86882512,126717.5646,94.77,HG,0.182647866
Great Whale Inuit,55.32,-77.69,0.0186,-1.730487056,395.0350514,0.096263699,-0.97249135,156052.6918,92.67,HG,0.183736301
Sivokamiut Inuit,63.49,-170.31,0.15,-0.823908741,433.2429043,0.04105451,-0.856185664,187699.4141,16.85,HG,0.23894549
Point Hope Inuit,68.29,-166.62,0.042,-1.37675071,278.6567858,0.068740175,-0.830965013,77649.60427,47.25,HG,0.211259825
Tareumiut Inuit,71.32,-156.78,0.0386,-1.413412695,177.4344959,0.059749462,-0.82661062,31483.00034,35.7,HG,0.220250538
Paraujano,9.9,-72.41,0.35,-0.455931956,1850.723874,0.533535414,0.109154906,3425178.858,2846.6,HG,0.253535414
Calusa,26.5,-82,0.3873,-0.411952503,1760.350983,0.287559262,-0.140611221,3098835.583,826.9,HG,0.007559262
Gabrielino,34,-118,0.649,-0.187755303,665.9142127,0.227897467,-0.621448548,443441.7387,519.37,HG,0.052102533
Chumash,34.63,-119.6,1.182,0.072617477,1049.003459,0.248862064,-0.63800277,1100408.257,619.32,HG,0.031137936
Nootka,49.34,-125.74,1.539,0.18723862,1070.524148,0.207725456,-0.924548361,1146021.951,431.5,HG,0.072274544
Lillooet,50.46,-123,0.235,-0.628932138,882.8318153,0.246596079,-0.940937152,779392.0141,608.1,HG,0.033403921
Lummi,48.84,-122.34,1.0463,0.019656225,1379.733707,0.274293214,-0.928807507,1903665.102,752.37,HG,0.005706786
Quinault,47.38,-123.82,0.852,-0.069560405,1213.463617,0.272652558,-0.908363542,1472493.95,743.39,HG,0.007347442
Comox,50,-125.5,0.55,-0.259637311,1170.7225,0.211001386,-0.93018923,1370591.172,445.22,HG,0.068998614
Bella-bella,52.87,-127.87,0.2051,-0.68803434,927.9601793,0.197500762,-0.949482897,861110.0944,390.07,HG,0.082499238
Quileute,47.77,-124.14,1.043,0.018284308,1256.693158,0.267208552,-0.91096774,1579277.693,714,HG,0.012791448
Clallam,47.95,-123.55,0.7,-0.15490196,990.0564197,0.27241311,-0.913745491,980211.7142,742.09,HG,0.00758689
Makah,48.22,-124.58,1.23,0.089905111,1300.341814,0.257078561,-0.915165114,1690888.833,660.89,HG,0.022921439
Haisla,53.5,-128.42,0.191,-0.718966633,912.7758266,0.204175008,-0.951198652,833159.7096,416.87,HG,0.075824992
Kwakiutl,50.42,-126.67,0.687,-0.163043263,997.9658236,0.195023129,-0.932044257,995935.7851,380.34,HG,0.084976871
Tsimshim,54,-129.58,0.419,-0.377785977,990.0564197,0.191729204,-0.951615164,980211.7142,367.6,HG,0.088270796
Haida,53.54,-132.29,0.9709,-0.012825499,1145.339897,0.145545797,-0.945220835,1311803.48,211.84,HG,0.134454203
Bella-coola,52.32,-126.58,0.13,-0.886056648,735.4770841,0.210877461,-0.948525887,540926.5412,444.69,HG,0.069122539
Tlingit,57,-133.59,0.1142,-0.942333896,997.9658236,0.137764916,-0.953673676,995935.7851,189.79,HG,0.142235084
Gitksan,55.65,-128.06,0.2358,-0.627456199,796.5439686,0.177770565,-0.959616086,634482.2939,316.02,HG,0.102229435
Konaig,57.93,-153.16,0.306,-0.514278574,868.076536,0.123940767,-0.930377941,753556.8724,153.61,HG,0.156059233
Chugash,61.21,-147.61,0.0648,-1.188424994,513.7474728,0.12473965,-0.941778233,263936.4658,155.6,HG,0.15526035
Aleut,55,-162.85,0.5465,-0.262409834,810.5456344,0.14084653,-0.906884834,656984.2254,198.38,HG,0.13915347
Sinkaietk,48.78,-119.56,0.1451,-0.838332588,574.2705369,0.261236973,-0.939766881,329786.6496,682.45,HG,0.018763027
Alcatcho,51.32,-124.02,0.075,-1.124938737,709.3726625,0.209360648,-0.945009503,503209.5743,438.32,HG,0.070639352
Chilcotin,51.68,-124,0.1152,-0.938547521,682.9002667,0.187505642,-0.949104506,466352.7743,351.58,HG,0.092494358
Carrier,53.33,-123.15,0.0759,-1.119758224,817.6043111,0.188497724,-0.959181105,668476.8095,355.31,HG,0.091502276
Tanaina,61.74,-150.45,0.0486,-1.313363731,702.9474189,0.129140732,-0.936475322,494135.0737,166.77,HG,0.150859268
